nombre_completo,nombre,universo,url,Intelligence,Strength,Speed,Durability,Power,Combat,Tier,Tier2,superpoderes,heroe
,Android 16,Dragon Ball Verse,https://www.superherodb.com/android-16/10-1238/,90,100,80,75,55,100,5,,"['Accelerated Development', 'Acrobatics', 'Agility', 'Bionics', 'Bullet Time', 'Clairvoyance Resistance', 'Cold Resistance', 'Danmaku', 'Dexterity', 'Durability', 'Endurance', 'Energy Beams', 'Energy Blasts', 'Enhanced Condition', 'Explosion Manipulation', 'Fire Resistance', 'Flight', 'Gadget Usage', 'Grappling/Climbing', 'Heat Generation', 'Heat Resistance', 'Information Analysis', 'Intelligence', 'Interstellar Travel', 'Invulnerability', 'Jump', 'Marksmanship', 'Master Martial Artist', 'Mechanical Aptitude', 'Natural Armor', 'Natural Weapons', 'Power Sense', 'Power Suit', 'Radar Sense', 'Radiation Immunity', 'Reflexes', 'Robotic Engineering', 'Self-Destruction', 'Self-Sustenance', 'Stamina', 'Super Speed', 'Super Strength', 'Toxin and Disease Resistance', 'Vision - Heat', 'Vision - Night', 'Vision - Telescopic', 'Vision - X-Ray', 'Weapon-based Powers', 'Clairvoyance', 'Electricity Resistance', 'Electro-Magnetism Manipulation', 'Extrasensory Perception', 'Force Fields', 'Light Control', 'Longevity', 'Master Tactician', 'Preparation', 'Vision - Microscopic', 'Weapon Creation', 'Weapons Master', 'Large Size', 'Shueisha', 'DB - Dragon Ball Verse', 'Z-Fighters', 'Anime', 'Dragon Ball Fighterz', 'Dragon Ball Verse Characters', 'My Marvel Vs Dc Youtube Series', 'Roleplaying Collection', 'Denisegc091477gmailcom', 'Hesperus', 'Tigerking2020', 'JaviChat', 'Ezio', 'yes', 'Walid27', 'Chronicler', 'RatnikNaSjeveru2005', 'Rotemeg', 'ForJustice1324', 'lucifermorningstar876', 'Delinquent', 'Bananatooshholeyyyyyy', 'Xml', 'All Users']",Android 16
Lapis,Android 17,Dragon Ball Verse,https://www.superherodb.com/android-17/10-1217/,85,100,100,100,100,100,6,,"['Acrobatics', 'Afterimage Creation', 'Agility', 'Bullet Time', 'Chi Manipulation', 'Cold Resistance', 'Cyborgization', 'Damage Boost', 'Danger Sense', 'Danmaku', 'Dexterity', 'Durability', 'Endurance', 'Energy Absorption', 'Energy Armor', 'Energy Beams', 'Energy Blasts', 'Energy Manipulation', 'Energy Resistance', 'Enhanced Condition', 'Enhanced Hearing', 'Enhanced Sight', 'Explosion Manipulation', 'Extrasensory Perception', 'Flight', 'Force Fields', 'Heat Generation', 'Heat Resistance', 'Indomitable Will', 'Intelligence', 'Invulnerability', 'Jump', 'Light Control', 'Longevity', 'Master Martial Artist', 'Master Tactician', 'Reactive Power Level', 'Reflexes', 'Shockwaves Generation', 'Spatial Awareness', 'Stamina', 'Super Speed', 'Super Strength', 'Toxin and Disease Resistance', 'Accelerated Development', 'Adaptation', 'Attack Reflection', 'Bloodlust', 'Cosmic Awareness', 'Dimensional Awareness', 'Durability Negation', 'Electricity Resistance', 'Emotional Power Up', 'Enhanced Touch', 'Fire Resistance', 'Information Analysis', 'Latent Abilities', 'Levitation', 'Non-Physical Interaction', 'Paralysis', 'Possession Resistance', 'Radiation Immunity', 'Rage Power', 'Self-Destruction', 'Statistics Amplification', 'Telepathy Resistance', 'Accelerated Healing', 'Attack Negation', 'Audio Control', 'Aura', 'Berserk Mode', 'Clairvoyance', 'Electricity Absorption', 'Electrokinesis', 'Energy Constructs', 'Enhanced Memory', 'Illumination', 'Intangibility', 'Interstellar Travel', 'Marksmanship', 'Omnilingualism', 'Phasing', 'Portal Creation', 'Seismic Power', 'Self-Sustenance', 'Spatial Communication', 'Spatial Manipulation', 'Status Effect Inducement', 'Stealth', 'Teleportation', 'Vehicular Mastery', 'Wind Control', 'Shueisha', 'DB - Dragon Ball Verse', 'Z-Fighters', 'Anime', 'Anti-heroes', 'Dragon Ball Fighterz', 'Dragon Ball Verse Characters', 'My Marvel Vs Dc Youtube Series', 'Participants Of The Tournament Of Power', 'Hesperus', 'Denisegc091477gmailcom', 'Tigerking2020', 'JaviChat', 'Ezio', 'yes', 'Walid27', 'Chronicler', 'RatnikNaSjeveru2005', 'Rotemeg', 'ForJustice1324', 'lucifermorningstar876', 'Delinquent', 'Bananatooshholeyyyyyy', 'Xml', 'All Users']",Android 17
Lazuli,Android 18,Dragon Ball Verse,https://www.superherodb.com/android-18/10-1218/,60,100,100,90,90,100,5,,"['Acrobatics', 'Agility', 'Cyborgization', 'Danger Sense', 'Durability', 'Endurance', 'Energy Absorption', 'Energy Armor', 'Energy Beams', 'Energy Blasts', 'Energy Manipulation', 'Enhanced Condition', 'Explosion Manipulation', 'Extrasensory Perception', 'Flight', 'Force Fields', 'Heat Generation', 'Indomitable Will', 'Intelligence', 'Invulnerability', 'Jump', 'Longevity', 'Master Martial Artist', 'Reflexes', 'Self-Sustenance', 'Shockwaves Generation', 'Spatial Awareness', 'Stamina', 'Super Speed', 'Super Strength', 'Accelerated Development', 'Accelerated Healing', 'Adaptation', 'Afterimage Creation', 'Aura', 'Berserk Mode', 'Bullet Time', 'Cold Resistance', 'Cosmic Awareness', 'Damage Boost', 'Dexterity', 'Emotional Power Up', 'Energy Constructs', 'Energy Resistance', 'Enhanced Hearing', 'Enhanced Sight', 'Fire Resistance', 'Heat Resistance', 'Latent Abilities', 'Levitation', 'Master Tactician', 'Pressure Points', 'Radiation Immunity', 'Reactive Power Level', 'Seismic Power', 'Self-Destruction', 'Statistics Amplification', 'Toxin and Disease Resistance', 'Vibration Manipulation', 'Immortality', 'Stealth', 'Shueisha', 'DB - Dragon Ball Verse', 'Z-Fighters', 'Anime', 'Death Battle Combatants', 'Dragon Ball Fighterz', 'Dragon Ball Verse Characters', 'Female Characters', 'Hottest Fictional Girls', 'My Marvel Vs Dc Youtube Series', 'Participants Of The Tournament Of Power', 'Red Ranked Warriors', 'Hesperus', 'Denisegc091477gmailcom', 'Tigerking2020', 'JaviChat', 'Ezio', 'yes', 'Walid27', 'Chronicler', 'RatnikNaSjeveru2005', 'Rotemeg', 'ForJustice1324', 'lucifermorningstar876', 'Delinquent', 'Bananatooshholeyyyyyy', 'Xml', 'All Users']",Android 18
,Android 19,Dragon Ball Verse,https://www.superherodb.com/android-19/10-1239/,80,100,75,60,45,90,4,,"['Acrobatics', 'Agility', 'Bionics', 'Cold Resistance', 'Danmaku', 'Dexterity', 'Durability', 'Energy Absorption', 'Energy Beams', 'Energy Blasts', 'Enhanced Condition', 'Heat Resistance', 'Intelligence', 'Jump', 'Marksmanship', 'Master Martial Artist', 'Master Tactician', 'Reflexes', 'Stamina', 'Stealth', 'Super Speed', 'Super Strength', 'Toxin and Disease Resistance', 'Accelerated Development', 'Clairvoyance', 'Clairvoyance Resistance', 'Endurance', 'Enhanced Hearing', 'Enhanced Memory', 'Enhanced Sight', 'Explosion Manipulation', 'Extrasensory Perception', 'Fire Resistance', 'Flight', 'Grappling/Climbing', 'Heat Generation', 'Information Analysis', 'Invulnerability', 'Photographic Deduction', 'Power Absorption', 'Power Sense', 'Radar Sense', 'Scanning', 'Seismic Power', 'Vaporising Beams', 'Vision - Heat', 'Weapon-based Powers', 'Shueisha', 'DB - Dragon Ball Verse', 'Anime', 'Dragon Ball Verse Characters', 'My Marvel Vs Dc Youtube Series', 'Hesperus', 'Denisegc091477gmailcom', 'Tigerking2020', 'JaviChat', 'Ezio', 'yes', 'Walid27', 'Chronicler', 'RatnikNaSjeveru2005', 'Rotemeg', 'ForJustice1324', 'lucifermorningstar876', 'Delinquent', 'Bananatooshholeyyyyyy', 'Xml', 'All Users']",Android 19
Aniraza,Aniraza,Dragon Ball Verse,https://www.superherodb.com/aniraza/10-13451/,80,100,100,100,100,100,7,7+,"['Ability Shift', 'Accelerated Development', 'Accelerated Healing', 'Acrobatics', 'Adaptation', 'Agility', 'Attack Reflection', 'Chi Manipulation', 'Clairvoyance', 'Cold Resistance', 'Danmaku', 'Dexterity', 'Durability', 'Endurance', 'Energy Beams', 'Energy Blasts', 'Energy Manipulation', 'Energy Resistance', 'Enhanced Condition', 'Enhanced Hearing', 'Fire Resistance', 'Flight', 'Gliding', 'Heat Generation', 'Heat Resistance', 'Indomitable Will', 'Information Analysis', 'Intelligence', 'Interstellar Travel', 'Invulnerability', 'Jump', 'Longevity', 'Marksmanship', 'Master Martial Artist', 'Master Tactician', 'Portal Creation', 'Power Sense', 'Radar Sense', 'Radiation Immunity', 'Rage Power', 'Reactive Evolution', 'Reflexes', 'Sonar', 'Spatial Manipulation', 'Stamina', 'Super Speed', 'Super Strength', 'Time Manipulation', 'Time Manipulation Resistance', 'Wing Manifestation', 'Afterimage Creation', 'Audio Alteration', 'Audio Control', 'Dimensional Travel', 'Elasticity', 'Metal Manipulation', 'Seismic Power', 'Self-Sustenance', 'Super Breath', 'Large Size', 'Shueisha', 'DB - Dragon Ball Verse', 'Anime', 'Dragon Ball Verse Characters', 'My Marvel Vs Dc Youtube Series', 'Participants Of The Tournament Of Power', 'MoNsTeR', 'Hesperus', 'Denisegc091477gmailcom', 'Tigerking2020', 'JaviChat', 'Ezio', 'yes', 'Walid27', 'Chronicler', 'RatnikNaSjeveru2005', 'Rotemeg', 'ForJustice1324', 'lucifermorningstar876', 'Delinquent', 'Bananatooshholeyyyyyy', 'Xml', 'All Users']",Aniraza
,Arak,Dragon Ball Verse,https://www.superherodb.com/arak/10-26046/,65,100,100,100,100,100,7,,"['Acrobatics', 'Afterimage Creation', 'Agility', 'Aura', 'Bullet Time', 'Chi Manipulation', 'Clairvoyance', 'Clairvoyance Resistance', 'Cold Resistance', 'Danmaku', 'Dexterity', 'Divine Powers', 'Divinity', 'Durability', 'Electricity Resistance', 'Endurance', 'Energy Absorption', 'Energy Armor', 'Energy Beams', 'Energy Blasts', 'Energy Manipulation', 'Energy Resistance', 'Enhanced Condition', 'Existence Erasure', 'Explosion Manipulation', 'Extrasensory Perception', 'Fire Resistance', 'Flight', 'Godly Physiology', 'Heat Generation', 'Heat Resistance', 'Immortality', 'Interstellar Travel', 'Invulnerability', 'Jump', 'Light Control', 'Longevity', 'Marksmanship', 'Master Martial Artist', 'Master Tactician', 'Peak Human Condition', 'Power Sense', 'Radar Sense', 'Radiation Immunity', 'Reflexes', 'Seismic Power', 'Shockwaves Generation', 'Space Survivability', 'Stamina', 'Super Breath', 'Super Speed', 'Super Strength', 'Telekinesis', 'Toxin and Disease Resistance', 'Vaporising Beams', 'Vision - Night', 'Vision - Telescopic', 'Weather Control', 'Wind Control', 'Ability Shift', 'Accelerated Healing', 'Enhanced Hearing', 'Enhanced Sight', 'Levitation', 'Self-Sustenance', 'Spatial Awareness', 'Spatial Communication', 'Existence Erasure Resistance', 'Shueisha', 'DB - Dragon Ball Verse', 'My Marvel Vs Dc Youtube Series', 'MoNsTeR', 'Hesperus', 'Denisegc091477gmailcom', 'Tigerking2020', 'JaviChat', 'Ezio', 'yes', 'Walid27', 'Chronicler', 'RatnikNaSjeveru2005', 'Rotemeg', 'ForJustice1324', 'lucifermorningstar876', 'Delinquent', 'Bananatooshholeyyyyyy', 'Xml', 'All Users']",Arak
,Bandages The Mummy,Dragon Ball Verse,https://www.superherodb.com/bandages-the-mummy/10-59121/,50,25,25,15,40,50,1,,"['Endurance', 'Reflexes', 'Stamina', 'Acrobatics', 'Cloth Manipulation', 'Cold Resistance', 'Heat Resistance', 'Supernatural Condition', 'Zombie Physiology', 'Immortality', 'Master Martial Artist', 'Paralysis', 'Self-Sustenance', 'Shueisha', 'DB - Dragon Ball Verse', 'My Marvel Vs Dc Youtube Series', 'MoNsTeR', 'Denisegc091477gmailcom', 'Hesperus', 'Tigerking2020', 'JaviChat', 'Ezio', 'yes', 'Walid27', 'Chronicler', 'RatnikNaSjeveru2005', 'Rotemeg', 'ForJustice1324', 'lucifermorningstar876', 'Delinquent', 'Bananatooshholeyyyyyy', 'Xml', 'All Users']",Bandages the Mummy
Bardock,Bardock (Super Saiyan),Dragon Ball Verse,https://www.superherodb.com/bardock-super-saiyan/10-33117/,65,100,65,60,45,100,4,,"['Accelerated Development', 'Acrobatics', 'Agility', 'Bullet Time', 'Chi Manipulation', 'Cold Resistance', 'Danmaku', 'Dexterity', 'Durability', 'Fire Resistance', 'Flight', 'Heat Generation', 'Heat Resistance', 'Indomitable Will', 'Intelligence', 'Jump', 'Latent Abilities', 'Marksmanship', 'Master Martial Artist', 'Master Tactician', 'Stamina', 'Super Speed', 'Super Strength', 'Vaporising Beams', 'Aura', 'Electricity Resistance', 'Energy Beams', 'Energy Blasts', 'Energy Manipulation', 'Enhanced Hearing', 'Enhanced Sight', 'Enhanced Smell', 'Explosion Manipulation', 'Grappling/Climbing', 'Invulnerability', 'Photographic Deduction', 'Photographic Reflexes', 'Power Augmentation', 'Radiation Immunity', 'Rage Power', 'Reactive Power Level', 'Reflexes', 'Statistics Amplification', 'Vision - Night', 'Vision - Telescopic', 'Electrokinesis', 'Longevity', 'Natural Armor', 'Reactive Evolution', 'Transformation', 'Shueisha', 'DB - Dragon Ball Verse', 'Hesperus', 'MoNsTeR', 'Denisegc091477gmailcom', 'Tigerking2020', 'JaviChat', 'Ezio', 'yes', 'Walid27', 'Chronicler', 'RatnikNaSjeveru2005', 'Rotemeg', 'ForJustice1324', 'lucifermorningstar876', 'Delinquent', 'Bananatooshholeyyyyyy', 'Xml', 'All Users']",Bardock (Super Saiyan)
Bardock,Bardock,Dragon Ball Verse,https://www.superherodb.com/bardock/10-1241/,65,100,55,55,40,100,4,,"['Accelerated Development', 'Agility', 'Chi Manipulation', 'Cold Resistance', 'Durability', 'Endurance', 'Fire Resistance', 'Flight', 'Heat Generation', 'Heat Resistance', 'Indomitable Will', 'Intelligence', 'Jump', 'Marksmanship', 'Master Martial Artist', 'Stamina', 'Super Speed', 'Super Strength', 'Accelerated Healing', 'Adaptation', 'Aura', 'Berserk Mode', 'Danmaku', 'Dexterity', 'Energy Beams', 'Energy Blasts', 'Energy Manipulation', 'Enhanced Condition', 'Enhanced Hearing', 'Enhanced Sight', 'Enhanced Smell', 'Invulnerability', 'Latent Abilities', 'Longevity', 'Master Tactician', 'Rage Power', 'Reflexes', 'Vaporising Beams', 'Large Size', 'Reactive Evolution', 'Reactive Power Level', 'Transformation', 'Shueisha', 'DB - Dragon Ball Verse', 'Anime', 'Anti-heroes', 'Dragon Ball Fighterz', 'Dragon Ball Verse Characters', 'My Marvel Vs Dc Youtube Series', 'Roleplaying Collection', 'Saiyans', 'Hesperus', 'MoNsTeR', 'Denisegc091477gmailcom', 'Tigerking2020', 'JaviChat', 'Ezio', 'yes', 'Walid27', 'Chronicler', 'RatnikNaSjeveru2005', 'Rotemeg', 'ForJustice1324', 'lucifermorningstar876', 'Delinquent', 'Bananatooshholeyyyyyy', 'Xml', 'All Users']",Bardock
,Basil,Dragon Ball Verse,https://www.superherodb.com/basil/10-25863/,50,100,70,65,50,95,4,,"['Accelerated Development', 'Accelerated Healing', 'Acrobatics', 'Agility', 'Dexterity', 'Durability', 'Energy Beams', 'Energy Blasts', 'Fire Resistance', 'Flight', 'Jump', 'Master Martial Artist', 'Peak Human Condition', 'Reflexes', 'Stamina', 'Super Speed', 'Super Strength', 'Berserk Mode', 'Chi Manipulation', 'Clairvoyance Resistance', 'Danmaku', 'Energy Manipulation', 'Enhanced Hearing', 'Enhanced Sight', 'Invulnerability', 'Longevity', 'Marksmanship', 'Master Tactician', 'Power Sense', 'Radiation Immunity', 'Stealth', 'Transformation', 'Shueisha', 'DB - Dragon Ball Verse', 'Basil', 'My Marvel Vs Dc Youtube Series', 'Participants Of The Tournament Of Power', 'MoNsTeR', 'Hesperus', 'Denisegc091477gmailcom', 'Tigerking2020', 'JaviChat', 'Ezio', 'yes', 'Walid27', 'Chronicler', 'RatnikNaSjeveru2005', 'Rotemeg', 'ForJustice1324', 'lucifermorningstar876', 'Delinquent', 'Bananatooshholeyyyyyy', 'Xml', 'All Users']",Basil
