nombre_completo,nombre,universo,url,Intelligence,Strength,Speed,Durability,Power,Combat,Tier,Tier2,superpoderes,heroe
Arthur Curry,Aquaman,DC Extended Universe,https://www.superherodb.com/aquaman/10-12533/,65,50,25,30,45,80,3,,"['Animal Control', 'Durability', 'Stamina', 'Super Speed', 'Super Strength', 'Underwater breathing', 'Weapon-based Powers', 'Accelerated Healing', 'Acrobatics', 'Agility', 'Animal Attributes', 'Animal Oriented Powers', 'Cold Resistance', 'Dexterity', 'Element Control', 'Endurance', 'Energy Manipulation', 'Enhanced Sight', 'Fire Resistance', 'Heat Resistance', 'Jump', 'Master Martial Artist', 'Natural Armor', 'Reflexes', 'Telepathy', 'Water Control', 'Weapons Master', 'Invulnerability', 'Longevity', 'DC Comics', 'DCEU - DC Extended Universe', 'Aquaman', 'Batman V Superman: Dawn Of Justice (2016)', 'Blue Ranked Warriors', 'Movie Heroes', 'Roleplaying Collection', 'Zack Snyder’s Justice League (2021)', 'ForJustice1324', 'Walid27', 'lucifermorningstar876', 'Tigerking2020', 'RatnikNaSjeveru2005', 'Delinquent', 'JaviChat', 'Bananatooshholeyyyyyy', 'yes', 'Rotemeg', 'Ezio', 'Hesperus', 'Xml', 'Jki546', 'Ahasan', 'TheOld', 'All Users']",Aquaman
Ares,Ares,DC Extended Universe,https://www.superherodb.com/ares/10-12597/,90,100,50,50,70,100,4,4,"['Accelerated Healing', 'Chain Manipulation', 'Cold Resistance', 'Dexterity', 'Durability', 'Electrokinesis', 'Empathy', 'Endurance', 'Fire Resistance', 'Flight', 'Heat Generation', 'Heat Resistance', 'Intelligence', 'Master Martial Artist', 'Master Tactician', 'Reflexes', 'Shapeshifting', 'Stamina', 'Statistics Amplification', 'Super Speed', 'Super Strength', 'Telekinesis', 'Toxin and Disease Resistance', 'Weapon Creation', 'Weapons Master', 'Weather Control', 'Acid Resistants', 'Agility', 'Element Control', 'Energy Blasts', 'Energy Manipulation', 'Enhanced Hearing', 'Enhanced Memory', 'Enhanced Sight', 'Fire Control', 'Illusion Resistance', 'Illusions', 'Immortality', 'Invisibility', 'Levitation', 'Magic', 'Memory Manipulation', 'Metal Manipulation', 'Mind Control', 'Mind Control Resistance', 'Power Augmentation', 'Radiation Immunity', 'Regeneration', 'Shockwaves Generation', 'Telepathy', 'Teleportation', 'Terrakinesis', 'Wind Control', 'Invulnerability', 'DC Comics', 'DCEU - DC Extended Universe', 'Ares', 'Red Ranked Warriors', 'yes', 'Walid27', 'ForJustice1324', 'lucifermorningstar876', 'Tigerking2020', 'RatnikNaSjeveru2005', 'Delinquent', 'JaviChat', 'Bananatooshholeyyyyyy', 'Rotemeg', 'Ezio', 'Hesperus', 'Xml', 'Jki546', 'Ahasan', 'TheOld', 'All Users']",Ares
Albert Rothstein,Atom Smasher,DC Extended Universe,https://www.superherodb.com/atom-smasher/10-27865/,60,30,25,25,40,20,2,,"['Jaw Strength', 'Large Size', 'Size Changing', 'Stamina', 'Fire Resistance', 'DC Comics', 'DCEU - DC Extended Universe', 'Atom Smasher', 'yes', 'Walid27', 'ForJustice1324', 'lucifermorningstar876', 'Tigerking2020', 'RatnikNaSjeveru2005', 'Delinquent', 'JaviChat', 'Bananatooshholeyyyyyy', 'Rotemeg', 'Ezio', 'Hesperus', 'Xml', 'Jki546', 'Ahasan', 'TheOld', 'All Users']",Atom Smasher
Bruce Wayne,Batman,DC Extended Universe,https://www.superherodb.com/batman/10-12530/,80,13,11,15,20,95,1,,"['Bloodlust', 'Dexterity', 'Disguise Mastery', 'Durability', 'Endurance', 'Gadget Usage', 'Gliding', 'Hacking', 'Information Analysis', 'Intelligence', 'Marksmanship', 'Master Martial Artist', 'Master Tactician', 'Peak Human Condition', 'Preparation', 'Stamina', 'Stealth', 'Super Speed', 'Super Strength', 'Vehicular Mastery', 'Weapons Master', 'Acrobatics', 'Agility', 'Animal Oriented Powers', 'Cold Resistance', 'Fear Inducement', 'Fire Resistance', 'Grappling/Climbing', 'Heat Resistance', 'Indomitable Will', 'Intuitive aptitude', 'Jump', 'Pain Suppression', 'Photographic Deduction', 'Reflexes', 'Swordsmanship', 'Wallcrawling', 'Camouflage', 'Explosion Manipulation', 'Instinctive Reaction', 'Mechanical Aptitude', 'Power Suit', 'Pressure Points', 'Weapon-based Powers', 'DC Comics', 'DCEU - DC Extended Universe', 'Batman', 'Batman V Superman: Dawn Of Justice (2016)', 'Batman: Arkham Knight (2015)', 'Movie Heroes', 'My Dceu Batman Trilogy', 'Roleplaying Collection', 'Zack Snyder’s Justice League (2021)', 'yes', 'ForJustice1324', 'Hesperus', 'Walid27', 'lucifermorningstar876', 'Tigerking2020', 'RatnikNaSjeveru2005', 'Delinquent', 'JaviChat', 'Bananatooshholeyyyyyy', 'Rotemeg', 'Ezio', 'Xml', 'Jki546', 'Ahasan', 'TheOld', 'All Users']",Batman
Teth-Adam,Black Adam,DC Extended Universe,https://www.superherodb.com/black-adam/10-21003/,65,100,75,45,75,75,3,3,"['Afterimage Creation', 'Agility', 'Cold Resistance', 'Durability', 'Electrical Transport', 'Electricity Resistance', 'Electrokinesis', 'Endurance', 'Energy Blasts', 'Fire Resistance', 'Flight', 'Godly Physiology', 'Heat Generation', 'Heat Resistance', 'Illumination', 'Indomitable Will', 'Intelligence', 'Marksmanship', 'Radiation Immunity', 'Reflexes', 'Stamina', 'Super Speed', 'Super Strength', 'Toxin and Disease Resistance', 'Accelerated Healing', 'Acid Resistants', 'Energy Manipulation', 'Energy Resistance', 'Holy Manipulation', 'Holy Resistance', 'Immortality', 'Invulnerability', 'Magic', 'Magic Resistance', 'Master Martial Artist', 'Self-Sustenance', 'Shockwaves Generation', 'Transformation', 'Unholy Manipulation', 'Unholy Resistance', 'Dexterity', 'Latent Abilities', 'Regeneration', 'DC Comics', 'DCEU - DC Extended Universe', 'Black Adam', 'ForJustice1324', 'yes', 'Hesperus', 'Walid27', 'lucifermorningstar876', 'Tigerking2020', 'RatnikNaSjeveru2005', 'Delinquent', 'JaviChat', 'Bananatooshholeyyyyyy', 'Rotemeg', 'Ezio', 'Xml', 'Jki546', 'Ahasan', 'TheOld', 'All Users']",Black Adam
Dinah Lance,Black Canary,DC Extended Universe,https://www.superherodb.com/black-canary/10-18617/,55,1,6,5,35,40,1,,"['Stamina', 'Singing', 'Sonic Scream', 'Stealth', 'Agility', 'Master Martial Artist', 'Reflexes', 'DC Comics', 'DCEU - DC Extended Universe', 'Black Canary', 'lucifermorningstar876', 'ForJustice1324', 'yes', 'Hesperus', 'Walid27', 'Tigerking2020', 'RatnikNaSjeveru2005', 'Delinquent', 'JaviChat', 'Bananatooshholeyyyyyy', 'Rotemeg', 'Ezio', 'Xml', 'Jki546', 'Ahasan', 'TheOld', 'All Users']",Black Canary
David Kane,Black Manta,DC Extended Universe,https://www.superherodb.com/black-manta/10-15579/,70,25,25,20,40,60,2,,"['Durability', 'Stamina', 'Super Speed', 'Super Strength', 'Electrokinesis', 'Energy Beams', 'Flight', 'Power Suit', 'Reflexes', 'Vision - Heat', 'Weapons Master', 'DC Comics', 'DCEU - DC Extended Universe', 'black manta', 'Movie Heroes', 'lucifermorningstar876', 'Hesperus', 'ForJustice1324', 'yes', 'Walid27', 'Tigerking2020', 'RatnikNaSjeveru2005', 'Delinquent', 'JaviChat', 'Bananatooshholeyyyyyy', 'Rotemeg', 'Ezio', 'Xml', 'Jki546', 'Ahasan', 'TheOld', 'All Users']",Black Manta
Roman Sionis,Black Mask,DC Extended Universe,https://www.superherodb.com/black-mask/10-18619/,60,1,6,5,5,30,0,,"['DC Comics', 'DCEU - DC Extended Universe', 'Black Mask', 'My Dceu Batman Trilogy', 'Hesperus', 'lucifermorningstar876', 'ForJustice1324', 'yes', 'Walid27', 'Tigerking2020', 'RatnikNaSjeveru2005', 'Delinquent', 'JaviChat', 'Bananatooshholeyyyyyy', 'Rotemeg', 'Ezio', 'Xml', 'Jki546', 'Ahasan', 'TheOld', 'All Users']",Black Mask
Robert DuBois,Bloodsport,DC Extended Universe,https://www.superherodb.com/bloodsport/10-21321/,70,1,8,15,20,85,1,,"['Intelligence', 'Marksmanship', 'Peak Human Condition', 'Stamina', 'Stealth', 'Weapons Master', 'Agility', 'Cold Resistance', 'Dexterity', 'Endurance', 'Explosion Manipulation', 'Grappling/Climbing', 'Indomitable Will', 'Master Martial Artist', 'Master Tactician', 'Reflexes', 'Swordsmanship', 'Vision - Night', 'Vision - Thermal', 'Acrobatics', 'Changing Armor', 'Enhanced Sight', 'Fire Control', 'Fire Resistance', 'Heat Generation', 'Heat Resistance', 'Illumination', 'Weapon-based Powers', 'DC Comics', 'DCEU - DC Extended Universe', 'Suicide Squad', 'Bloodsport', 'Hesperus', 'lucifermorningstar876', 'ForJustice1324', 'yes', 'Walid27', 'Tigerking2020', 'RatnikNaSjeveru2005', 'Delinquent', 'JaviChat', 'Bananatooshholeyyyyyy', 'Rotemeg', 'Ezio', 'Xml', 'Jki546', 'Ahasan', 'TheOld', 'All Users']",Bloodsport
Digger Harkness,Captain Boomerang,DC Extended Universe,https://www.superherodb.com/captain-boomerang/10-15413/,45,1,6,7,10,40,0,,"['Stamina', 'Agility', 'Marksmanship', 'Stealth', 'Weapons Master', 'DC Comics', 'DCEU - DC Extended Universe', 'Suicide Squad', 'Captain Boomerang', 'Hesperus', 'yes', 'lucifermorningstar876', 'ForJustice1324', 'Walid27', 'Tigerking2020', 'RatnikNaSjeveru2005', 'Delinquent', 'JaviChat', 'Bananatooshholeyyyyyy', 'Rotemeg', 'Ezio', 'Xml', 'Jki546', 'Ahasan', 'TheOld', 'All Users']",Captain Boomerang
