nombre_completo,nombre,universo,url,Intelligence,Strength,Speed,Durability,Power,Combat,Tier,Tier2,superpoderes,heroe
"Reginald ""Reggie"" C. Franklin",A-Train,The Boys (TV Series 2019),https://www.superherodb.com/a-train/10-21495/,60,25,25,15,35,30,1,1+,"['Agility', 'Enhanced Condition', 'Enhanced Hearing', 'Intelligence', 'Reflexes', 'Stamina', 'Statistics Amplification', 'Super Speed', 'Super Strength', 'Accelerated Healing', 'Acrobatics', 'Deception', 'Dexterity', 'Endurance', 'Jump', 'Social Influencing', 'Longevity', 'Master Martial Artist', 'Regeneration', 'Stealth', 'Dynamite Entertainment', 'The Boys 2019 - The Boys (TV Series 2019)', 'The Seven', 'The Seven', 'Roleplaying Collection', 'Hesperus', 'AmalgamComics00', 'yes', 'Denisegc091477gmailcom', 'MoNsTeR', 'TheOld', 'Walid27', 'JaviChat', 'Tigerking2020', 'RatnikNaSjeveru2005', 'Ezio', 'Chronicler', 'Rotemeg', 'ForJustice1324', 'lucifermorningstar876', 'Delinquent', 'Bananatooshholeyyyyyy', 'All Users']",A-Train
William Butcher,Billy Butcher,The Boys (TV Series 2019),https://www.superherodb.com/billy-butcher/10-21496/,65,5,7,8,10,60,1,0+,"['Agility', 'Dexterity', 'Marksmanship', 'Master Martial Artist', 'Master Tactician', 'Preparation', 'Social Influencing', 'Vehicular Mastery', 'Weapons Master', 'Dynamite Entertainment', 'The Boys 2019 - The Boys (TV Series 2019)', 'Badass', 'Hesperus', 'yes', 'Denisegc091477gmailcom', 'AmalgamComics00', 'MoNsTeR', 'TheOld', 'Walid27', 'JaviChat', 'Tigerking2020', 'RatnikNaSjeveru2005', 'Ezio', 'Chronicler', 'Rotemeg', 'ForJustice1324', 'lucifermorningstar876', 'Delinquent', 'Bananatooshholeyyyyyy', 'All Users']",Billy Butcher
William Butcher,Billy Butcher (V24),The Boys (TV Series 2019),https://www.superherodb.com/billy-butcher-v24/10-49719/,65,25,8,20,50,60,1,,"['Heat Generation', 'Stamina', 'Toxin and Disease Resistance', 'Vision - Heat', 'Weapons Master', 'Accelerated Healing', 'Agility', 'Bloodlust', 'Cold Resistance', 'Dexterity', 'Disguise Mastery', 'Endurance', 'Energy Beams', 'Enhanced Hearing', 'Enhanced Memory', 'Enhanced Sight', 'Enhanced Smell', 'Enhanced Thievery', 'Heat Resistance', 'Indomitable Will', 'Invulnerability', 'Longevity', 'Marksmanship', 'Master Martial Artist', 'Master Tactician', 'Preparation', 'Reflexes', 'Regeneration', 'Social Influencing', 'Stealth', 'Vehicular Mastery', 'Energy Resistance', 'Dynamite Entertainment', 'The Boys 2019 - The Boys (TV Series 2019)', 'Hesperus', 'yes', 'Denisegc091477gmailcom', 'AmalgamComics00', 'MoNsTeR', 'TheOld', 'Walid27', 'JaviChat', 'Tigerking2020', 'RatnikNaSjeveru2005', 'Ezio', 'Chronicler', 'Rotemeg', 'ForJustice1324', 'lucifermorningstar876', 'Delinquent', 'Bananatooshholeyyyyyy', 'All Users']",Billy Butcher (V24)
William Butcher,Billy Butchter (tumor),The Boys (TV Series 2019),https://www.superherodb.com/billy-butchter-tumor/10-66739/,65,25,14,20,35,65,1,1,"['Instinctive Reaction', 'Rage Power', 'Super Strength', 'Bloodlust', 'Emotional Power Up', 'Endurance', 'Insanity', 'Master Martial Artist', 'Master Tactician', 'Weapons Master', 'Accelerated Healing', 'Multiple Limbs', 'Multiple Personalities', 'Amazon', 'The Boys 2019 - The Boys (TV Series 2019)', 'Hesperus', 'Denisegc091477gmailcom', 'yes', 'AmalgamComics00', 'MoNsTeR', 'TheOld', 'Walid27', 'JaviChat', 'Tigerking2020', 'RatnikNaSjeveru2005', 'Ezio', 'Chronicler', 'Rotemeg', 'ForJustice1324', 'lucifermorningstar876', 'Delinquent', 'Bananatooshholeyyyyyy', 'All Users']",Billy Butcher (Tumor)
,Black Noir (replacement),The Boys (TV Series 2019),https://www.superherodb.com/black-noir-replacement/10-66430/,50,25,25,15,35,55,1,1,"['Insanity', 'Stamina', 'Super Speed', 'Super Strength', 'Disguise Mastery', 'Endurance', 'Flight', 'Master Martial Artist', 'Social Influencing', 'Amazon', 'The Boys 2019 - The Boys (TV Series 2019)', 'yes', 'BlotskyA', 'Denisegc091477gmailcom', 'Hesperus', 'AmalgamComics00', 'MoNsTeR', 'TheOld', 'Walid27', 'JaviChat', 'Tigerking2020', 'RatnikNaSjeveru2005', 'Ezio', 'Chronicler', 'Rotemeg', 'ForJustice1324', 'lucifermorningstar876', 'Delinquent', 'All Users']",Black Noir (Replacement)
Earving,Black Noir,The Boys (TV Series 2019),https://www.superherodb.com/black-noir/10-21497/,60,25,25,20,35,90,1,1+,"['Acrobatics', 'Agility', 'Bloodlust', 'Longevity', 'Master Martial Artist', 'Pain Suppression', 'Reflexes', 'Social Influencing', 'Stamina', 'Stealth', 'Swordsmanship', 'Toxin and Disease Resistance', 'Weapons Master', 'Accelerated Healing', 'Acid Resistants', 'Cold Resistance', 'Dexterity', 'Endurance', 'Enhanced Hearing', 'Enhanced Memory', 'Enhanced Sight', 'Fire Resistance', 'Heat Resistance', 'Jump', 'Master Tactician', 'Regeneration', 'Status Effect Inducement', 'Vehicular Mastery', 'Dynamite Entertainment', 'The Boys 2019 - The Boys (TV Series 2019)', 'The Seven', 'The Seven', 'Blue Ranked Warriors', 'Hesperus', 'yes', 'BlotskyA', 'Denisegc091477gmailcom', 'AmalgamComics00', 'MoNsTeR', 'TheOld', 'Walid27', 'JaviChat', 'Tigerking2020', 'RatnikNaSjeveru2005', 'Ezio', 'Chronicler', 'Rotemeg', 'ForJustice1324', 'lucifermorningstar876', 'Delinquent', 'All Users']",Black Noir
Cate Dunlap,Cate Dunlap,The Boys (TV Series 2019),https://www.superherodb.com/cate-dunlap/10-61841/,65,1,1,15,35,5,1,,"['Memory Manipulation', 'Mind Control', 'Deception', 'Leadership', 'Social Influencing', 'Telepathy', 'Enhanced Touch', 'Latent Abilities', 'Pain Manipulation', 'Dynamite Entertainment', 'The Boys 2019 - The Boys (TV Series 2019)', 'Hesperus', 'yes', 'Denisegc091477gmailcom', 'BlotskyA', 'AmalgamComics00', 'MoNsTeR', 'TheOld', 'Walid27', 'JaviChat', 'Tigerking2020', 'RatnikNaSjeveru2005', 'Ezio', 'Chronicler', 'Rotemeg', 'ForJustice1324', 'lucifermorningstar876', 'Delinquent', 'All Users']",Cate Dunlap
,Crimson Countess,The Boys (TV Series 2019),https://www.superherodb.com/crimson-countess/10-50062/,50,6,7,15,35,25,1,,"['Energy Blasts', 'Super Strength', 'Light Control', 'Longevity', 'Energy Beams', 'Energy Manipulation', 'Illumination', 'Laser Manipulation', 'Dynamite Entertainment', 'The Boys 2019 - The Boys (TV Series 2019)', 'Hesperus', 'yes', 'Denisegc091477gmailcom', 'BlotskyA', 'AmalgamComics00', 'MoNsTeR', 'TheOld', 'Walid27', 'JaviChat', 'Tigerking2020', 'RatnikNaSjeveru2005', 'Ezio', 'Chronicler', 'Rotemeg', 'ForJustice1324', 'lucifermorningstar876', 'Delinquent', 'All Users']",Crimson Countess
,Firecracker,The Boys (TV Series 2019),https://www.superherodb.com/firecracker/10-65930/,60,25,11,15,20,35,1,1,"['Super Speed', 'Super Strength', 'Marksmanship', 'Social Influencing', 'Weapons Master', 'Audio Control', 'Body Puppetry', 'Explosion Manipulation', 'Fire Control', 'Illumination', 'Light Control', 'Amazon', 'The Boys 2019 - The Boys (TV Series 2019)', 'BlotskyA', 'Hesperus', 'yes', 'Denisegc091477gmailcom', 'AmalgamComics00', 'MoNsTeR', 'TheOld', 'Walid27', 'JaviChat', 'Tigerking2020', 'RatnikNaSjeveru2005', 'Ezio', 'Chronicler', 'Rotemeg', 'ForJustice1324', 'lucifermorningstar876', 'Delinquent', 'All Users']",Firecracker
,Golden Boy,The Boys (TV Series 2019),https://www.superherodb.com/golden-boy/10-56769/,45,25,25,25,40,45,1,,"['Aura', 'Durability', 'Fire Control', 'Fire Resistance', 'Flight', 'Heat Generation', 'Heat Resistance', 'Super Speed', 'Super Strength', 'Berserk Mode', 'Longevity', 'Energy Embodiment', 'Energy Manipulation', 'Illumination', 'Insanity', 'Light Control', 'Dynamite Entertainment', 'The Boys 2019 - The Boys (TV Series 2019)', 'BlotskyA', 'JaviChat', 'Hesperus', 'yes', 'Denisegc091477gmailcom', 'AmalgamComics00', 'MoNsTeR', 'TheOld', 'Walid27', 'Tigerking2020', 'RatnikNaSjeveru2005', 'Ezio', 'Chronicler', 'Rotemeg', 'ForJustice1324', 'lucifermorningstar876', 'Delinquent', 'All Users']",Golden Boy
