nombre,Fortalezas,Debilidades
Aquaman,"['Control sobre animales marinos', 'Fuerza sobrehumana', 'Durabilidad', 'Habilidades de combate', 'Comunicación telepática con la vida marina']","['Necesidad de estar en contacto con el agua regularmente', 'Vulnerabilidad a la deshidratación']"
Ares,"['Fuerza y durabilidad sobrehumana', 'Habilidades mágicas', 'Control sobre el caos y la guerra', 'Inmortalidad']",['Dependencia del caos y conflicto para mantener su poder']
Atom Smasher,"['Cambio de tamaño', 'Fuerza incrementada con el tamaño', 'Resistencia']","['Difícil de controlar su tamaño', 'Problemas con la coordinación al cambiar de tamaño']"
Batman,"['Inteligencia de nivel genio', 'Maestro en artes marciales', 'Detección avanzada', 'Equipamiento y gadgets', 'Habilidades de detective']","['Humano sin poderes sobrenaturales', 'Vulnerabilidad física']"
Black Adam,"['Fuerza sobrehumana', 'Velocidad', 'Magia', 'Vuelo', 'Resistencia a la magia']","['Vulnerable a la magia poderosa', 'Arrogancia']"
Black Canary,"['Grito sónico', 'Habilidades de combate']",['Humana sin poderes sobrenaturales fuera de su grito']
Black Manta,"['Habilidades de combate', 'Tecnología avanzada']",['Humano sin poderes sobrenaturales']
Black Mask,"['Estratega criminal', 'Habilidades de combate']",['Humano sin poderes sobrenaturales']
Bloodsport,"['Experto en armas', 'Habilidades de combate']",['Humano sin poderes sobrenaturales']
Captain Boomerang,"['Habilidad con boomerangs', 'Habilidades de combate']",['Humano sin poderes sobrenaturales']
Cassandra Cain,"['Habilidades de combate', 'Experta en artes marciales']",['Humana sin poderes sobrenaturales']
Cheetah,"['Fuerza y agilidad sobrehumana', 'Habilidades de combate']",['Dependencia de la transformación']
Cyborg,"['Tecnología avanzada', 'Fuerza sobrehumana', 'Habilidades de hackeo']",['Dependencia de su tecnología']
Cyclone,"['Control del viento', 'Vuelo']",['Vulnerabilidad física']
Dark Flash,"['Velocidad sobrehumana', 'Reflejos rápidos']",['Dependencia de la Speed Force']
Darkseid,"['Fuerza y durabilidad sobrehumana', 'Habilidades mágicas', 'Control sobre el caos y la guerra', 'Inmortalidad']",['Dependencia del caos y conflicto para mantener su poder']
Deadshot,"['Experto en armas', 'Habilidades de combate']",['Humano sin poderes sobrenaturales']
Doctor Fate,"['Habilidades mágicas', 'Inmortalidad', 'Vuelo']",['Dependencia del casco']
Doctor Sivana,"['Intelecto de nivel genio', 'Habilidades científicas']",['Humano sin poderes sobrenaturales']
Doomsday,"['Fuerza y durabilidad sobrehumana', 'Habilidades de combate']",['Vulnerable a la magia']
El Diablo,"['Control del fuego', 'Habilidades de combate']",['Humano sin poderes sobrenaturales fuera de su control de fuego']
Enchantress,"['Habilidades mágicas', 'Control mental']",['Dependencia de su magia']
Envy,['Habilidades de combate'],['Dependencia de la envidia']
Faora,"['Fuerza y durabilidad sobrehumana', 'Habilidades de combate']",['Vulnerable a la kryptonita']
